t 	 x 	 z
0	820.121	-72019.8
0.01	99.9234	-74119.3
0.02	-641.27	-74375.1
0.03	-1385.02	-72733.5
0.04	-2112.36	-69187.8
0.05	-2804.23	-63780.2
0.06	-3442.03	-56601.3
0.07	-4008.05	-47789.7
0.08	-4485.95	-37529.1
0.09	-4861.24	-26045.1
0.1	-5121.69	-13600.3
0.11	-5257.69	-488.815
0.12	-5262.58	12970.9
0.13	-5132.87	26443.1
0.14	-4868.44	39583.2
0.15	-4472.61	52046.4
0.16	-3952.14	63496.3
0.17	-3317.18	73613.8
0.18	-2581.04	82105.8
0.19	-1759.98	88713.2
0.2	-872.852	93218.8
0.21	59.336	95453.3
0.22	1013.87	95301.4
0.23	1966.88	92705.9
0.24	2893.94	87670.7
0.25	3770.65	80262.2
0.26	4573.27	70609.3
0.27	5279.36	58901.8
0.28	5868.38	45386.6
0.29	6322.25	30363.5
0.3	6625.88	14178.6
0.31	6767.67	-2783.69
0.32	6739.83	-20108.9
0.33	6538.74	-37362.9
0.34	6165.11	-54102.1
0.35	5624.09	-69884.8
0.36	4925.24	-84282.4
0.37	4082.42	-96891.1
0.38	3113.51	-107342
0.39	2040.09	-115313
0.4	886.963	-120535
0.41	-318.39	-122806
0.42	-1546.45	-121991
0.43	-2766.36	-118032
0.44	-3946.68	-110950
0.45	-5056.18	-100847
0.46	-6064.64	-87902.7
0.47	-6943.67	-72377.3
0.48	-7667.44	-54601.5
0.49	-8213.46	-34972.8
0.5	-8563.18	-13946.4
0.51	-8702.65	7975.39
0.52	-8622.89	30254.2
0.53	-8320.35	52328.8
0.54	-7797.06	73628.9
0.55	-7060.78	93589.4
0.56	-6124.88	111665
0.57	-5008.23	127345
0.58	-3734.79	140166
0.59	-2333.13	149727
0.6	-835.861	155700
0.61	721.135	157839
0.62	2299.53	155993
0.63	3859.46	150106
0.64	5360.53	140226
0.65	6762.79	126503
0.66	8027.82	109191
0.67	9119.73	88639.4
0.68	10006.1	65292.9
0.69	10659.1	39677.2
0.7	11055.8	12390
0.71	11179.7	-15912.9
0.72	11020.6	-44533
0.73	10575.3	-72745.7
0.74	9847.81	-99818.4
0.75	8849.62	-125029
0.76	7599.34	-147684
0.77	6122.5	-167138
0.78	4451.12	-182812
0.79	2623	-194207
0.8	680.934	-200921
0.81	-1328.28	-202665
0.82	-3354.93	-199264
0.83	-5347.57	-190676
0.84	-7254.32	-176986
0.85	-9024.18	-158415
0.86	-10608.3	-135313
0.87	-11961.5	-108156
0.88	-13043	-77534.2
0.89	-13818.4	-44144.1
0.9	-14259.8	-8769.08
0.91	-14347.5	27736
0.92	-14070.1	64465.6
0.93	-13425.5	100485
0.94	-12420.6	134854
0.95	-11072.1	166651
0.96	-9405.57	194996
0.97	-7455.61	219074
0.98	-5264.87	238160
0.99	-2883.27	251638
1	-366.887	259019
1.01	2223.31	259959
1.02	4822.89	254267
1.03	7365.57	241920
1.04	9784.77	223065
1.05	12015.4	198016
1.06	13995.6	167256
1.07	15668.1	131427
1.08	16982.4	91317
1.09	17895.6	47842.1
1.1	18374	2029.39
1.11	18394.3	-45008
1.12	17944.2	-92097.4
1.13	17023.2	-138035
1.14	15642.9	-181614
1.15	13826.7	-221660
1.16	11610.2	-257056
1.17	9039.59	-286778
1.18	6171.8	-309920
1.19	3072.61	-325720
1.2	-184.589	-333585
1.21	-3520.44	-333113
1.22	-6851.57	-324101
1.23	-10092.6	-306560
1.24	-13158.2	-280723
1.25	-15965.4	-247039
1.26	-18435.8	-206167
1.27	-20497.5	-158971
1.28	-22087.2	-106498
1.29	-23152.2	-49954.7
1.3	-23651.7	9314.84
1.31	-23558.6	69863.2
1.32	-22859.9	130173
1.33	-21558.2	188695
1.34	-19671.3	243884
1.35	-17232.4	294242
1.36	-14290	338357
1.37	-10906.4	374939
1.38	-7157.04	402860
1.39	-3128.44	421182
1.4	1083.38	429191
1.41	5375.29	426417
1.42	9639.46	412656
1.43	13766	387979
1.44	17645.8	352738
1.45	21173.2	307565
1.46	24248.9	253362
1.47	26782.5	191285
1.48	28695.3	122722
1.49	29922.5	49261.5
1.5	30415.1	-27340.2
1.51	30141.7	-105203
1.52	29089.7	-182366
1.53	27266.1	-256835
1.54	24697.7	-326637
1.55	21431.3	-389863
1.56	17532.7	-444727
1.57	13085.4	-489611
1.58	8189.33	-523109
1.59	2958.24	-544074
1.6	-2482.5	-551647
1.61	-7998.97	-545292
1.62	-13451.9	-524815
1.63	-18700	-490378
1.64	-23603.8	-442506
1.65	-28028.9	-382080
1.66	-31849.7	-310326
1.67	-34952.9	-228791
1.68	-37240.8	-139311
1.69	-38634	-43974.8
1.7	-39073.7	54928.1
1.71	-38524.4	154957
1.72	-36974.9	253579
1.73	-34439.1	348235
1.74	-30956.7	436399
1.75	-26592.7	515648
1.76	-21436.2	583725
1.77	-15599	638602
1.78	-9212.96	678536
1.79	-2427.6	702121
1.8	4593.6	708336
1.81	11677	696576
1.82	18642.7	666683
1.83	25309.5	618958
1.84	31499.1	554165
1.85	37040.8	473527
1.86	41776	378703
1.87	45563.1	271756
1.88	48280.6	155115
1.89	49831.8	31516.4
1.9	50146.9	-96053
1.91	49186.4	-224429
1.92	46942.1	-350346
1.93	43438.7	-470518
1.94	38733.5	-581721
1.95	32916.3	-680879
1.96	26107.5	-765145
1.97	18456	-831980
1.98	10136.2	-879227
1.99	1343.96	-905176
2	-7707.8	-908616
2.01	-16794	-888885
2.02	-25682.8	-845892
2.03	-34141.7	-780144
2.04	-41943.2	-692741
2.05	-48870.6	-585367
2.06	-54724.2	-460258
2.07	-59326.8	-320164
2.08	-62528.5	-168287
2.09	-64211.3	-8214.37
2.1	-64293.5	156167
2.11	-62731.8	320758
2.12	-59524.2	481351
2.13	-54710.7	633733
2.14	-48373.4	773793
2.15	-40635.5	897629
2.16	-31659.2	1.00166e+006
2.17	-21642.6	1.0827e+006
2.18	-10815.6	1.13811e+006
2.19	565.497	1.1658e+006
2.2	12223.5	1.16435e+006
2.21	23866.9	1.13306e+006
2.22	35197.5	1.07196e+006
2.23	45917.1	981851
2.24	55735.6	864304
2.25	64378.6	721621
2.26	71594.8	556811
2.27	77162.9	373528
2.28	80898.2	175991
2.29	82658.1	-31108.1
2.3	82347.1	-242713
2.31	79919.9	-453521
2.32	75384.7	-658116
2.33	68803.5	-851101
2.34	60292.5	-1.02724e+006
2.35	50020.2	-1.18159e+006
2.36	38204.3	-1.30964e+006
2.37	25107.9	-1.40744e+006
2.38	11033.5	-1.47172e+006
2.39	-3683.71	-1.49996e+006
2.4	-18683.3	-1.49053e+006
2.41	-33588.7	-1.4427e+006
