t 	 x 	 z
0	1.00865	0.451671
0.01	1.01317	0.290286
0.02	1.01607	0.128179
0.03	1.01736	-0.0343934
0.04	1.01701	-0.19717
0.05	1.01504	-0.359892
0.06	1.01144	-0.522299
0.07	1.00622	-0.684129
0.08	0.999377	-0.845124
0.09	0.990926	-1.00502
0.1	0.980876	-1.16357
0.11	0.96924	-1.32051
0.12	0.956035	-1.47559
0.13	0.941279	-1.62856
0.14	0.924993	-1.77916
0.15	0.907202	-1.92716
0.16	0.88793	-2.07231
0.17	0.867207	-2.21438
0.18	0.845063	-2.35313
0.19	0.821532	-2.48834
0.2	0.796648	-2.61979
0.21	0.77045	-2.74725
0.22	0.742978	-2.87053
0.23	0.714273	-2.9894
0.24	0.684379	-3.10369
0.25	0.653342	-3.21319
0.26	0.62121	-3.31772
0.27	0.588033	-3.41711
0.28	0.553862	-3.5112
0.29	0.51875	-3.59982
0.3	0.482751	-3.68282
0.31	0.445923	-3.76006
0.32	0.408323	-3.83141
0.33	0.370009	-3.89674
0.34	0.331041	-3.95594
0.35	0.291482	-4.00891
0.36	0.251393	-4.05554
0.37	0.210837	-4.09577
0.38	0.16988	-4.1295
0.39	0.128585	-4.15668
0.4	0.0870179	-4.17725
0.41	0.0452454	-4.19118
0.42	0.00333364	-4.19842
0.43	-0.0386505	-4.19895
0.44	-0.08064	-4.19276
0.45	-0.122568	-4.17986
0.46	-0.164366	-4.16025
0.47	-0.205969	-4.13395
0.48	-0.247308	-4.101
0.49	-0.288318	-4.06143
0.5	-0.328933	-4.0153
0.51	-0.369086	-3.96267
0.52	-0.408712	-3.90361
0.53	-0.447748	-3.83822
0.54	-0.486131	-3.76658
0.55	-0.523796	-3.6888
0.56	-0.560684	-3.60499
0.57	-0.596734	-3.51528
0.58	-0.631887	-3.41981
0.59	-0.666085	-3.3187
0.6	-0.699272	-3.21213
0.61	-0.731394	-3.10025
0.62	-0.762396	-2.98322
0.63	-0.792228	-2.86124
0.64	-0.820841	-2.73448
0.65	-0.848186	-2.60315
0.66	-0.874217	-2.46744
0.67	-0.898891	-2.32756
0.68	-0.922167	-2.18374
0.69	-0.944004	-2.0362
0.7	-0.964366	-1.88515
0.71	-0.983218	-1.73086
0.72	-1.00053	-1.57354
0.73	-1.01626	-1.41346
0.74	-1.0304	-1.25086
0.75	-1.04291	-1.08599
0.76	-1.05376	-0.919127
0.77	-1.06296	-0.750524
0.78	-1.07046	-0.580451
0.79	-1.07627	-0.409178
0.8	-1.08036	-0.236975
0.81	-1.08273	-0.0641178
0.82	-1.08337	0.109119
0.83	-1.08228	0.282458
0.84	-1.07945	0.455622
0.85	-1.0749	0.628334
0.86	-1.06861	0.800318
0.87	-1.06061	0.971296
0.88	-1.0509	1.14099
0.89	-1.03949	1.30914
0.9	-1.0264	1.47546
0.91	-1.01164	1.63968
0.92	-0.995245	1.80154
0.93	-0.977229	1.96078
0.94	-0.957621	2.11714
0.95	-0.93645	2.27036
0.96	-0.913746	2.42019
0.97	-0.889545	2.56639
0.98	-0.863881	2.70872
0.99	-0.836794	2.84694
1	-0.808324	2.98082
1.01	-0.778516	3.11015
1.02	-0.747414	3.23472
1.03	-0.715067	3.3543
1.04	-0.681524	3.46871
1.05	-0.646837	3.57776
1.06	-0.611059	3.68125
1.07	-0.574247	3.77902
1.08	-0.536457	3.8709
1.09	-0.497748	3.95673
1.1	-0.45818	4.03637
1.11	-0.417817	4.10968
1.12	-0.37672	4.17653
1.13	-0.334954	4.23681
1.14	-0.292586	4.2904
1.15	-0.249682	4.33722
1.16	-0.20631	4.37716
1.17	-0.162539	4.41017
1.18	-0.118437	4.43618
1.19	-0.074075	4.45513
1.2	-0.0295237	4.46698
1.21	0.0151461	4.47171
1.22	0.0598632	4.46928
1.23	0.104556	4.4597
1.24	0.149153	4.44298
1.25	0.193583	4.41911
1.26	0.237774	4.38814
1.27	0.281655	4.35009
1.28	0.325156	4.30503
1.29	0.368206	4.253
